,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_jamaica,hash_jamaicantiktok,hash_jamaicatiktok,hash_tiktok,hash_trending,hash_viral
0,JM,7082529600911183109,1649029927,Come out a me yard! 😤😤 #kraazy #vybzkeem #raisingjimmy #jamaicantiktok #caribbeantiktok,6758584564517929989,Vybzkeem,"🧃Follow the Instagram: vybzkeem_
🧃 GIANT🚀 
Click link ⤵️",0,False,https://m.tiktok.com/v/7082529600911183109.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082529600911183109&source=h5_m,770259,1149,2663,6863,73595,7082529557584071429,7082529557584071429,72,7082529557584071429,original sound - vybzkeem_ (Contains music from: Bussy Butts - Ree Ree KappAlot & Ken Kelle),"Contains music from: ""Bussy Butts""",6.75858456451793e+18,Vybzkeem,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082529566325082885.mp3,,False,False,Ree Ree KappAlot & Ken Kelle,Bussy Butts,original sound - vybzkeem_ (Contains music from: Bussy Butts - Ree Ree KappAlot & Ken Kelle),"Contains music from: ""Bussy Butts""",[],0,0,Jamaica,#kraazy #vybzkeem #raisingjimmy #jamaicantiktok #caribbeantiktok,0,0,0,0,0,1,0,0,0,0
1,JM,7083945328835054853,1649359551,Facts😮‍💨#quotes,7059455352367088646,𝗧𝗿𝗮𝗽💫,"𝗧𝗵𝗮𝗻𝗸𝘀 𝗳𝗼𝗿 𝟯𝟱𝟬𝗸🥳
𝗹𝗲𝗮𝘃𝗲 𝘁𝗵𝗲𝗺 𝘁𝗼 𝘁𝗶𝗺𝗲⏰",0,False,https://m.tiktok.com/v/7083945328835054853.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083945328835054853&source=h5_m,144734,316,1064,4623,23880,6756038852646799362,6756038852646799362,10033,6756038852646799362,Again,timmies & Timmies,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/64ff6dec603048e5a9a63e64f2020ad6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/91747746ceaf4647abb132764aecf630,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1358537414', 'external_song_key': 'apple_song_id'}]",0,0,Jamaica,#quotes,0,0,0,0,0,0,0,0,0,0
2,US,7095831407339097387,1652126995,Sorry females 😭#fypシ #toytoyhere #fypシ #fypシ #fyppp #jamaicatiktok #relatable,6698881629622502406,Toya💕,"Just for fun✌🏾😂
🇯🇲FL",0,False,https://m.tiktok.com/v/7095831407339097387.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095831407339097387&source=h5_m,298056,1099,1264,5427,26977,7085878460060551941,7085878460060551941,72,7085878460060551941,That man is not ya own,caribbeanspedsongs<33,7.065752875424024e+18,caribbeanspedsongs<33,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085878474526739205.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cdae16bf67a0c3ed3964f300fdb7043c.json,False,False,,,,,[],0,0,Jamaica,#fypシ #toytoyhere #fypシ #fypシ #fyppp #jamaicatiktok #relatable,0,0,0,3,0,0,1,0,0,0
3,US,7081025126581718318,1648679638,Milk prank on Uncle😳😂 Link in my bio,6713170969001067526,nba.qwan,"Ig: @nba.qwan
SUBSCRIBE TO MY YOUTUBE!⬇️",0,False,https://m.tiktok.com/v/7081025126581718318.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081025126581718318&source=h5_m,11085881,40878,50816,16794,2355516,7081025121192037166,7081025121192037166,72,7081025121192037166,original sound - enjoy.qwan,nba.qwan,6.713170969001068e+18,nba.qwan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081025159272057646.mp3,,False,False,,,,,[],0,0,Jamaica,,0,0,0,0,0,0,0,0,0,0
4,JM,7099937323919478022,1653082979, ,6759559742975673349,Nia 💙🤍,"Follow my new ig and youtube⤴️
🇯🇲
Welcome 🤪",0,False,https://m.tiktok.com/v/7099937323919478022.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099937323919478022&source=h5_m,837233,146,160,2921,62888,7073526922914974470,7073526922914974470,72,7073526922914974470,original sound - bbyshl5,🧝🏾‍♀️,6.805131795233113e+18,🧝🏾‍♀️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073526919379176198.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1586f53f59b95061640f32286f30d611.json,False,False,,,,,[],0,0,Jamaica,,0,0,0,0,0,0,0,0,0,0
5,JM,7072108668690435334,1646603614,Mind ya businessman oh‼️,6684468843929322501,Rebelofficial,"Island tingz 🇯🇲
My mood depends on you 🥱
Choreographer 
🥱
Rip mom&da",0,False,https://m.tiktok.com/v/7072108668690435334.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072108668690435334&source=h5_m,2462295,938,1481,4377,261271,7060984419061992198,7060984419061992198,10036,7060984419061992198,Finesse,Pheelz & BNXN,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/df7202902abb430794ffae4aa4810480,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/32af760c8f614ce1afd14326d5215249,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1614660789', 'external_song_key': 'apple_song_id'}]",0,0,Jamaica,,0,0,0,0,0,0,0,0,0,0
6,AU,7078899737738382593,1648184784,"To celebrate over 100 million views on her last video, here is the second half 😂 #toddlersoftiktok #bellylaughs #dogsofttiktok #babygiggle #babylaugh #giggles #hysterical #dogandbaby #BestFriends #flashlight #pug #pugsoftiktok",7046990355698664449,Madi,"Madison Rose 🌹 
2 doggy best friends 
madislaugh@gmail.com",0,False,https://m.tiktok.com/v/7078899737738382593.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078899737738382593&source=h5_m,22936858,10506,105776,6589,1162355,7078899703668148994,7078899703668148994,72,7078899703668148994,original sound - m.tothea.d.i,Madi,7.046990355698664e+18,Madi,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7078899708894202626.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/282bcdeb21da0039a1b41cc4d826d66c.json,False,False,,,,,[],0,0,Jamaica,#toddlersoftiktok #bellylaughs #dogsofttiktok #babygiggle #babylaugh #giggles #hysterical #dogandbaby #BestFriends #flashlight #pug #pugsoftiktok,0,0,0,0,0,0,0,0,0,0
7,JM,7103293083017678085,1653864303,Reply to @camy725 mama we deh ya fi u😭😭😭‼️💔💔💔#tictok #fypシ #comebackhome,6799375767270999046,Tichelle Nelson,,0,False,https://m.tiktok.com/v/7103293083017678085.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103293083017678085&source=h5_m,122445,168,5,41,4442,6809095351803316225,6809095351803316225,10033,6809095351803316225,Dancing in the Sky,Beverly Ann,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d65f6fa1a14044d4aebefcde0c55ee7d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a0f36adf04754ab7920bbe4b8158efa7,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1505003580', 'external_song_key': 'apple_song_id'}]",0,0,Jamaica,#tictok #fypシ #comebackhome,0,0,0,1,0,0,0,0,0,0
0,JM,7100309037429869830,1653169525,Always 😂 #fyp,7030903507633587205,R.Self.Care,"LIFESTYLE.BUSINESS.SELFCARE 

Being Me 🤷🏽‍♀️

Ig: @r.self.care",0,False,https://m.tiktok.com/v/7100309037429869830.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100309037429869830&source=h5_m,71385,45,88,192,11397,6929989733544839942,6929989733544839942,72,6929989733544839942,original sound - _brooklyn99_1,Brooklyn Nine-Nine,6.929982017388873e+18,Brooklyn Nine-Nine,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6929989753806850821.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/ef94811bc263a6a918059e8319e4c382.json,False,False,,,,,[],0,0,Jamaica,#fyp,0,0,1,0,0,0,0,0,0,0
1,JM,7100311247605878021,1653170040,Wait for it 😭😂😂#makethisviralplease #pleasemakemefamous #tiktokviral2021 #trending #duet #trendinsound #fyp #pyfatuh,7100304211301254150,shanese_baily2,"“Existence wants you to be you.” ❤🙏
PROUD MOMMY💕",0,False,https://m.tiktok.com/v/7100311247605878021.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100311247605878021&source=h5_m,195273,882,1695,45,11870,7100311547364444934,7100311547364444934,72,7100311547364444934,original sound - shanese_baily2,shanese_baily2,7.100304211301254e+18,shanese_baily2,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100311563596892934.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8617e7e92f9b32267134235808ad356d.json,False,False,,,,,[],0,0,Jamaica,#makethisviralplease #pleasemakemefamous #tiktokviral2021 #trending #duet #trendinsound #fyp #pyfatuh,0,0,1,0,0,0,0,0,1,0
2,CA,7102102635846634757,1653587130,#fyp#viralvideo#trending#jamaicatiktok#uk#usa#4u#foryou#men#pumpum#buff#canada#jamaicans#fypシ#island#fun#laugh#toronto#jamaicantiktok🇯🇲viral,6777597294990771206,Chuku,Follow& Subscribe to my youtube chacdvale⏬,0,False,https://m.tiktok.com/v/7102102635846634757.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102102635846634757&source=h5_m,340507,1438,2910,3299,26346,7102102632549894917,7102102632549894917,72,7102102632549894917,original sound - chacdvale,Chuku,6.777597294990771e+18,Chuku,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102102634651486981.mp3,,False,False,,,,,[],0,0,Jamaica,#fyp#viralvideo#trending#jamaicatiktok#uk#usa#4u#foryou#men#pumpum#buff#canada#jamaicans#fypシ#island#fun#laugh#toronto#jamaicantiktok🇯🇲viral,1,0,1,1,0,1,1,0,1,1
3,JM,7098095190094777606,1652654074,Dropsy run inna mi family bbz😔 #fyp #foryoupage #viral #fypシ #trend #text #search #phone #relationship #caribbean #jamaica #swizzledioptimist,6818595164438365189,$wizzz🔥🎶😌,IG:swizzle_di_optimist.My music is in sounds as $wizzz. Click link below😇,0,False,https://m.tiktok.com/v/7098095190094777606.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098095190094777606&source=h5_m,146904,250,192,491,17899,6929768477582428929,6929768477582428929,72,6929768477582428929,original sound - paco_rabanova (Contains music from: Slow Motion - Echover),"Contains music from: ""Slow Motion""",6.65533656031155e+18,🖤КАРАБАНОВА🖤,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6929768438327986946.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3ca6e890f6e9bd5902b4419bfd34c6c5.json,False,False,Echover,Slow Motion,original sound - paco_rabanova (Contains music from: Slow Motion - Echover),"Contains music from: ""Slow Motion""",[],0,0,Jamaica,#fyp #foryoupage #viral #fypシ #trend #text #search #phone #relationship #caribbean #jamaica #swizzledioptimist,0,1,1,1,1,0,0,0,0,1
4,JM,7102966708482100486,1653788314,Someone please let me know!!!! #fyppppppppppppppppppppppp,6979333628854289413,Shanty,"Thanks for the love and support guys… love y’all 😘😘🥰🥰🥰
IG:@Curiouschick22",0,False,https://m.tiktok.com/v/7102966708482100486.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102966708482100486&source=h5_m,104732,128,84,200,2960,6831877093949704194,6831877093949704194,10033,6831877093949704194,Kotch,RDX,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1e526586b86c41d9a08ffcb82a0f7588,,False,True,,,,,[],0,0,Jamaica,#fyppppppppppppppppppppppp,0,0,0,0,0,0,0,0,0,0
5,JM,7093231494944148741,1651521656,Im such a wanna be actor 🥲 #fyp #foryou #foryoupage #viral,6776351538991612934,Andelle’s Life,"YouTube: Andelle’s Life 
Yes I’m that short 💀
 DM FOR PROMO
RIP MY ANGELS 🕊",0,False,https://m.tiktok.com/v/7093231494944148741.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093231494944148741&source=h5_m,423020,205,1088,3789,71961,6802703405937740549,6802703405937740549,72,6802703405937740549,original sound - bgcaudios,💗Bad Girls Club💗,6.784056546738587e+18,💗Bad Girls Club💗,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1660816947124261.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/9e1d77ca43ab7315a1ad3afa2e8b0337.json,False,False,,,,,[],0,0,Jamaica,#fyp #foryou #foryoupage #viral,1,1,1,0,0,0,0,0,0,1
6,JM,7077593210549210373,1647880583,Yessss😂😂 sit on it #fyp #trending #carribeantiktok #steveharvey,6796995544151376902,Most hated tiktoker🍠🇯🇲,Fully yam🍠🔥🔥🥺❤️ get my ig to 100kplzz 🥺 get my tiktok to 200k🥺,0,False,https://m.tiktok.com/v/7077593210549210373.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077593210549210373&source=h5_m,364511,411,415,1350,40165,7076658061552962350,7076658061552962350,72,7076658061552962350,original sound - steveharvey (Contains music from: Magic Voice - Doggo),"Contains music from: ""Magic Voice""",6.653097460997521e+18,Steve Harvey,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076658086416698158.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d6e9cb8f9a31d9f9b05b727127b6ad25.json,False,False,Doggo,Magic Voice,original sound - steveharvey (Contains music from: Magic Voice - Doggo),"Contains music from: ""Magic Voice""",[],0,0,Jamaica,#fyp #trending #carribeantiktok #steveharvey,0,0,1,0,0,0,0,0,1,0
7,JM,7075512352216468742,1647396097,#fyp,6800081890901951494,Osheka Reid,"Thank you for following 
Road to 100k 🙏🏾
Only Fun Here😍!😂
Snapchat-Sheeka_x",0,False,https://m.tiktok.com/v/7075512352216468742.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075512352216468742&source=h5_m,208408,200,1026,3704,14435,6877548025074862849,6877548025074862849,72,6877548025074862849,original sound - ohmyglow7,Kimia,6.778038466226144e+18,Kimia,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6877547973685938946.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0bd4aa2bd2af7a6b4eeea68319c0bcdf.json,False,False,,,,,[],0,0,Jamaica,#fyp,0,0,1,0,0,0,0,0,0,0
0,US,7092501240898424110,1651351630,When Ella won’t listen to me #jamaica #jamaicatiktok #fyp,6911769880991810566,Shanisse Mae,"Ella Jade the Jamaican Toddler 🇯🇲 
IG 📸 MommiesJade",0,False,https://www.tiktok.com/@mommiesjade/video/7092501240898424110?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092501240898424110&source=h5_m,288742,142,379,515,12920,7035786662936464133,7035786662936464133,72,7035786662936464133,original sound - zedboss3k,🤑Zedboss3k ☠️ 👁️ ☠️,6.81169729475761e+18,🤑Zedboss3k ☠️ 👁️ ☠️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7035786727490964229.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dcb07dbf9b230174a2d0875a3bec6521.json,False,False,,,,,[],0,0,Jamaica,#jamaica #jamaicatiktok #fyp,0,0,1,0,1,0,1,0,0,0
